ID,NOM,Lat,Lon,Alt (m),Réseau,Humidité relative,Neige,Précipitomètre,Pluviomètre à auget,Température de l'air,Température à 10 cm dans le sol,Température du point de rosée,Direction du vent (10m),Direction du vent (3m),Direction de la pointe de vent (10m),Direction de la pointe de vent (3m),Vitesse du vent (10m),Vitesse du vent (3m),Vitesse de la pointe de vent (10m),Vitesse de la pointe de vent (3m),Rayonnement solaire,Pression atmosphérique,Pression atmosphérique au niveau de la mer
CWOC,New Carlisle,48.012027,-65.331611,46,DEA,OUI,OUI,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMJN,New Richmond East,48.156733,-65.841919,2,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMYW,New-Richmond,48.188883,-65.832217,46,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMQZ,Newport,45.395617,-71.489733,365,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CWNQ,Nicolet,46.225979,-72.657072,7,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CWOD,Normandin,48.841979,-72.54643,136,DEA,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
QFNO,Normandin F,48.863888,-72.513306,193,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
QFNU,Nouvelle,48.16076,-66.36607,36,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CQOB,Observation,48.5683,-65.2012,520,DCF,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CMVZ,Oka,45.516214,-74.086885,93,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CWXC,Onatchiway,48.8942,-71.0317,303,DEA,OUI,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMZY,Ormstown F,45.147117,-74.0237,46,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CXOA,Ottawa CDA,45.3824,-75.71402,79,DEA,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CMUB,Palmarolle,48.664111,-79.164602,273,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CQPA,Papineau Labelle,46.2163,-75.1961,250,DCF,OUI,OUI,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CTPM,Pembroke,45.86007,-77.252387,161,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMYX,Percé,48.458617,-64.3529,127,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CWYQ,Pointe-Au-Père,48.513861,-68.468416,4,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CMZK,Pontiac,45.550233,-76.126167,80,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
QFPO,Potton,45.04586,-72.40315,185,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
QFPV,Princeville,46.12489,-71.89632,151,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMUQ,Privat,48.65989,-78.71537,313,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CQPM,Pépinière St-Modeste,47.837,-69.3912,170,DCF,OUI,OUI,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CMTS,Pépinière Trécesson,48.5752,-78.2553,349,DCF,OUI,OUI,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON
CWQB,Québec,46.8036,-71.3817,60,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYQB,Québec A,46.788861,-71.383806,70,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI
CQUE,Quévillon,49.035833,-77.021179,293,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CMRS,Rapide Sept,47.7976,-78.2962,338,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,NON
QFRI,Rigaud,45.49199,-74.40189,47,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMYD,Rimouski,48.418033,-68.531917,100,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMRW,Rivière Windigo,47.9158,-73.3696,310,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMRE,Rivière aux Eaux Mortes,47.0974,-72.496,301,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMKB,Rivière de la Corneille,46.7503,-76.9262,328,DCF,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CMZA,Rivière-Rouge,46.4681,-74.93731,258,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CWNH,Rivière-du-Loup,47.8061,-69.5485,146,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYRJ,Roberval,48.523021,-72.26619,174,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CQRO,Rouge-Matawin,46.6583,-74.5114,505,DCF,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
CMWQ,Rougemont,45.449921,-73.067298,79,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CWUY,Rouyn,48.245827,-79.0338,317,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CYUY,Rouyn A,48.209705,-78.828861,302,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI
CMKG,Réservoir Baskatong,46.718,-75.9868,220,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMDW,Réservoir Dozois,47.4475,-77.0762,360,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMPP,Réservoir Pipmuacan,49.3598,-70.9152,566,HYDRO,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,NON
CMTZ,Sacré-Coeur,48.224017,-69.79665,116,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMTT,Saguenay,48.3763,-71.172933,165,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMAI,Saint-Aimé-des-Lacs,47.686667,-70.302222,214,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CMYI,Saint-Alexis-de-Matapédia,47.987233,-67.078783,298,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMZM,Saint-André-Avellin,45.75505,-75.038483,176,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CWBZ,Saint-Anicet,45.1208,-74.2895,48,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
QFST,Saint-Anicet F,45.12815,-74.34932,50,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMWR,Saint-Antoine-de-Tilly,46.674617,-71.531112,71,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
QFAR,Saint-Arsène,47.945,-69.39048,76,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMOW,Saint-Aubert,47.175633,-70.261433,37,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
QFSA,Saint-Augustin (Dalmas),48.80838,-71.97438,116,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMXR,Saint-Barnabé,46.407717,-72.853883,93,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMKU,Saint-Bernard,46.515158,-71.189928,155,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMNP,Saint-Bernard-de-Michaudville,45.851751,-73.116793,11,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
QFBG,Saint-Bruno-de-Guigues,47.43749,-79.43862,213,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMWV,Saint-Bruno-de-Montarville,45.541378,-73.340258,58,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMOK,Saint-Camille-de-Lellis,46.494617,-70.203367,452,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
QFCB,Saint-Charles-de-Bellechasse,46.74102,-70.95374,71,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
QFCO,Saint-Charles-de-Bourget,48.50531,-71.40052,127,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
QFCA,Saint-Christophe-d'Arthabaska,46.02626,-71.9614,137,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMXH,Saint-Cléophas,46.244469,-73.386227,160,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMKH,Saint-Coeur-de-Marie,48.66544,-71.72342,127,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
QFSC,Saint-Célestin,46.232996,-72.375892,58,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMUW,Saint-David,45.95748,-72.860501,29,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMTA,Saint-Eugène-d'Argentenay,48.970167,-72.268317,143,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMUZ,Saint-Fabien,48.28494,-68.84155,142,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMKF,Saint-Félix-de-Kingsey,45.82888,-72.20579,121,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMYG,Saint-Gabriel-de-Rimouski,48.416883,-68.115567,349,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMQH,Saint-Georges-de-Windsor,45.659017,-71.786183,280,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMSI,Saint-Germain-de-Grantham,45.8253,-72.537,85,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMKQ,Saint-Godefroi,48.124932,-65.124717,122,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMWX,Saint-Grégoire,45.348321,-73.156437,58,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
QFSG,Saint-Gédéon de Grandmont,48.505602,-71.742168,121,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMNH,Saint-Herménégilde,45.0962,-71.714467,453,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMWY,Saint-Hilaire,45.52399,-73.1674,52,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMSW,Saint-Hilarion F,47.596407,-70.40716,408,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CYHU,Saint-Hubert,45.515223,-73.417699,25,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMZW,Saint-Jacques,45.956533,-73.556567,59,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMYC,Saint-Jean-de-Dieu,47.9377,-69.04248,254,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
QFAK,Saint-Joseph-de-Kamouraska,47.645,-69.60574,127,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMVD,Saint-Joseph-de-Lepage,48.58397,-68.11717,68,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMWZ,Saint-Joseph-du-Lac,45.540595,-74.026481,90,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CWJT,Saint-Jovite,46.080444,-74.555815,238,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CMXB,Saint-Laurent,46.872021,-70.992406,55,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMNB,Saint-Liboire,45.6517,-72.80273,71,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMUU,Saint-Louis-de-Blandford,46.23565,-72.07761,93,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMNX,Saint-Léon-le-Grand,48.35546,-67.55133,264,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMXY,Saint-Léonard-de-Portneuf,46.8854,-71.910267,154,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMUP,Saint-Marc-de-Figuery,48.41774,-78.01821,313,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMOV,Saint-Marcel,46.8873,-70.072417,442,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMPQ,Saint-Martin,45.914317,-70.595633,345,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CQST,Saint-Maurice,46.9576,-73.0042,385,DCF,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
CQSL,Saint-Michel,46.682315,-73.913913,372,SOPFEU,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON
CMMY,Saint-Michel-des-Saints,46.8156,-74.094,390,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMXD,Saint-Paul-d'Abbotsford,45.44944,-72.88755,111,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
CMOE,Saint-Pierre-de-la-Rivière-du-Sud,46.935,-70.635867,24,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMZT,Saint-Polycarpe F,45.342283,-74.34045,63,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
CMTG,Saint-Prime,48.617183,-72.410417,111,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
QFSP,Saint-Prosper,46.21978,-70.39487,366,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMPT,Saint-Rémi,45.294436,-73.59288,44,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMXV,Saint-Tite,46.68586,-72.54324,144,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMNW,Saint-Ulric-de-Matane,48.76086,-67.739,63,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
CMVW,Saint-Édouard-de-Lotbinière,46.5708,-71.841583,62,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMUN,Saint-Éloi,48.05908,-69.28127,36,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
QFSE,Saint-Éphrem,46.036433,-70.871317,362,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CWVQ,Sainte-Anne-de-Bellevue,45.4272,-73.9292,38,DEA,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMZU,Sainte-Anne-des-Plaines,45.7669,-73.849117,70,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CWIT,Sainte-Clotilde,45.166682,-73.678318,52,DEA,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CMUV,Sainte-Clotilde-de-Horton,45.98717,-72.25989,82,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
QFSL,Sainte-Cécile-de-Levrard,46.46102,-72.15606,42,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMWW,Sainte-Cécile-de-Milton,45.4803,-72.74517,136,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMPF,Sainte-Cécile-de-Whitton,45.63741,-70.92197,479,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMWB,Sainte-Famille I.O.,46.971573,-70.956563,100,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CWJB,Sainte-Foy,46.7803,-71.2875,91,DEA,OUI,OUI,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON
CMXU,Sainte-Geneviève-de-Batiscan,46.51,-72.385617,32,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMYH,Sayabec,48.564383,-67.701467,184,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CXZV,Sept-Îles,50.218,-66.2414,52,DEA,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CYZV,Sept-Îles A,50.2161,-66.2661,50,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI
CXSH,Shawinigan,46.5635,-72.7333,110,DEA,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYSC,Sherbrooke,45.440313,-71.691933,241,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYJN,St. Jean,45.2944,-73.2817,41,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMQE,Stanstead,45.099017,-72.016533,314,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMVB,Stratford,45.7856,-71.3242,274,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMTH,Thetford Mines,46.0492,-71.2662,430,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CWTY,Trois-Rivières,46.3537,-72.5151,5,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CYRQ,Trois-Rivières A,46.35157,-72.68046,60,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMYB,Témiscouata-sur-le-Lac,47.58714,-68.78263,319,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CYVO,Val d'Or A,48.05333,-77.78278,336,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CGVO,Val-d'Or RCS,48.0565,-77.7866,339,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMZF,Val-des-Monts,45.79285,-75.675117,176,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CYOY,Valcartier A,46.9003,-71.5033,169,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI
CMXG,Victoriaville,46.037076,-71.919114,149,SM,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CQWG,Wageguma,48.48871,-73.459115,588,SOPFEU,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON
CQWE,Weymont,47.845833,-73.806944,356,SOPFEU,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON
CWGR,Îles-de-la-Madeleine,47.425194,-61.774667,7,DEA,OUI,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
